item_id,date,p10,p50,p90
client_201,2014-12-30T13:00:00Z,241.5409545898,256.8756408691,271.3818969727
client_201,2014-12-30T14:00:00Z,228.4840545654,248.1670684814,265.3519287109
client_201,2014-12-30T15:00:00Z,231.3088684082,247.3687438965,268.6354675293
client_201,2014-12-30T16:00:00Z,235.5141296387,251.306427002,268.4967346191
client_201,2014-12-30T17:00:00Z,235.1067657471,255.0898590088,273.4735717773
client_201,2014-12-30T18:00:00Z,254.0922698975,273.9232177734,297.6172790527
client_201,2014-12-30T19:00:00Z,247.2674255371,268.0924987793,289.5766906738
client_201,2014-12-30T20:00:00Z,236.72706604,255.5929107666,279.3949890137
client_201,2014-12-30T21:00:00Z,228.8829956055,250.2385253906,274.1491394043
client_201,2014-12-30T22:00:00Z,227.1330871582,246.5419158936,264.0815429688
client_201,2014-12-30T23:00:00Z,218.2876739502,240.3325653076,266.7170715332
client_201,2014-12-31T00:00:00Z,201.1795654297,219.0911712646,239.0758209229
client_201,2014-12-31T01:00:00Z,136.810333252,151.586151123,167.1438140869
client_201,2014-12-31T02:00:00Z,117.2908172607,130.3497467041,146.1552734375
client_201,2014-12-31T03:00:00Z,115.3799514771,125.6642074585,139.7006072998
client_201,2014-12-31T04:00:00Z,117.7948684692,127.4984741211,140.3610992432
client_201,2014-12-31T05:00:00Z,121.4766387939,133.4470672607,145.9534454346
client_201,2014-12-31T06:00:00Z,157.2741699219,170.2103729248,183.6714477539
client_201,2014-12-31T07:00:00Z,157.3302459717,176.3864593506,188.0060577393
client_201,2014-12-31T08:00:00Z,167.2774810791,183.1224975586,196.2131958008
client_201,2014-12-31T09:00:00Z,195.2188262939,213.1784362793,236.5498657227
client_201,2014-12-31T10:00:00Z,223.3427581787,243.8761749268,269.4734802246
client_201,2014-12-31T11:00:00Z,236.0457000732,258.8499755859,281.5420837402
client_201,2014-12-31T12:00:00Z,230.770614624,256.4505615234,279.8188781738
client_201,2014-12-31T13:00:00Z,233.4746246338,256.7348022461,283.6360778809
client_201,2014-12-31T14:00:00Z,226.0492401123,246.7205047607,271.3717956543
client_201,2014-12-31T15:00:00Z,221.632232666,245.9660949707,267.5990600586
client_201,2014-12-31T16:00:00Z,225.5415039062,244.8054199219,275.5982055664
client_201,2014-12-31T17:00:00Z,231.5754699707,252.1681060791,280.9706115723
client_201,2014-12-31T18:00:00Z,245.7324371338,268.5266113281,299.2668151855
client_201,2014-12-31T19:00:00Z,237.0005950928,255.1978912354,283.6785888672
client_201,2014-12-31T20:00:00Z,217.1880340576,237.1910095215,256.4531860352
client_201,2014-12-31T21:00:00Z,205.6955413818,227.4151763916,248.3340759277
client_201,2014-12-31T22:00:00Z,201.3362731934,217.6968688965,235.3325653076
client_201,2014-12-31T23:00:00Z,197.8851470947,214.8701019287,233.5386810303
client_201,2015-01-01T00:00:00Z,181.8562774658,193.0921020508,212.4583129883
client_249,2014-12-30T13:00:00Z,93.9332427979,100.2889404297,106.2610778809
client_249,2014-12-30T14:00:00Z,92.5817871094,100.7671051025,107.9257507324
client_249,2014-12-30T15:00:00Z,96.2926559448,103.0056533813,111.9341583252
client_249,2014-12-30T16:00:00Z,99.4213638306,106.1293487549,113.4604034424
client_249,2014-12-30T17:00:00Z,100.3501739502,108.8869552612,116.6327362061
client_249,2014-12-30T18:00:00Z,101.4684524536,109.6588745117,120.2885818481
client_249,2014-12-30T19:00:00Z,99.6715393066,108.3927459717,117.7421951294
client_249,2014-12-30T20:00:00Z,95.2705383301,103.1484451294,113.4169540405
client_249,2014-12-30T21:00:00Z,94.92918396,104.2780380249,114.6727218628
client_249,2014-12-30T22:00:00Z,94.5404586792,103.3050231934,111.1955718994
client_249,2014-12-30T23:00:00Z,80.3287963867,87.6193237305,98.4395599365
client_249,2014-12-31T00:00:00Z,62.6390571594,70.6629257202,78.7678222656
client_249,2014-12-31T01:00:00Z,58.7218589783,65.64037323,73.0391387939
