,米ドル,英ポンド,ユーロ,カナダドル,スイスフラン,スウェーデンクローネ,デンマーククローネ,ノルウェークローネ,オーストラリアドル,ニュージーランドドル,南アフリカランド,バーレーンディナール,インドネシアルピア,中国人民元,香港ドル,インドルピー,マレーシアリンギ,フィリピンペソ,シンガポールドル,韓国ウォン,タイバーツ,クウェートディナール,サウジアラビアリアル,UAEディルハム,メキシコペソ,パプアニューギニアキナ,ハンガリーフォリント,チェココロナ,ポーランドズロチ,ロシアルーブル,トルコリラ,インドネシアルピア,中国人民元,マレーシアリンギ,韓国ウォン,台湾ドル
,USD,GBP,EUR,CAD,CHF,SEK,DKK,NOK,AUD,NZD,ZAR,BHD,IDR(100),CNY,HKD,INR,MYR,PHP,SGD,KRW(100),THB,KWD,SAR,AED,MXN,PGK,HUF,CZK,PLN,RUB,TRY,IDR(100),CNY,MYR,KRW(100),TWD
2002/4/30,131.15,189.01,115.97,82.83,79.13,12.73,15.61,15.2,70.24,58.08,11.83,348.32,*****,*****,16.82,2.69,*****,2.58,71.64,9.99,3.02,429.5,34.98,35.71,14.36,*****,*****,*****,*****,,,1.39,15.84,*****,9.99,3.77
2002/5/31,126.44,184.56,115.88,81.58,79.6,12.57,15.59,15.43,69.58,58.38,12.51,335.97,*****,*****,16.21,2.6,*****,2.54,70.23,10.1,2.96,417.48,33.73,34.43,13.3,*****,*****,*****,*****,,,1.41,15.28,*****,10.1,3.68
2002/6/28,123.53,183,117.83,80.64,80.09,12.94,15.86,15.92,70.29,60.48,12.22,328.37,*****,*****,15.84,2.54,*****,2.46,69.27,10.2,2.93,410.12,32.96,33.64,12.67,*****,*****,*****,*****,,,1.44,14.93,*****,10.2,3.66
2002/7/31,118.05,183.64,117.23,76.52,80.16,12.67,15.79,15.83,65.42,56.82,11.73,313.77,*****,*****,15.13,2.43,*****,2.34,67.35,9.98,2.86,393.79,31.49,32.15,12.07,*****,*****,*****,*****,,,1.34,14.26,*****,9.98,3.56
2002/8/30,119.08,183.14,116.45,75.85,79.6,12.59,15.69,15.68,64.47,55.28,11.31,316.39,*****,*****,15.27,2.46,*****,2.31,67.82,9.97,2.83,396.92,31.77,32.43,12.12,*****,*****,*****,*****,,,1.35,14.39,*****,9.97,3.53
2002/9/30,120.58,187.6,118.27,76.63,80.74,12.9,15.94,16.08,65.95,56.67,11.41,320.5,*****,*****,15.46,2.5,*****,2.32,68.36,9.99,2.82,401.71,32.17,32.84,12.01,*****,*****,*****,*****,,,1.36,14.57,*****,9.99,3.51
2002/10/31,123.95,193.01,121.59,78.48,83,13.36,16.38,16.58,68.18,59.63,12.04,329.48,*****,*****,15.89,2.58,*****,2.35,69.43,10.01,2.84,412.37,33.07,33.76,12.31,*****,*****,*****,*****,,,1.37,14.97,*****,10.01,3.56
2002/11/29,121.57,191.16,121.79,77.31,83,13.43,16.4,16.65,68.25,60.41,12.65,323.14,*****,*****,15.59,2.53,*****,2.29,68.91,10.05,2.81,405.9,32.43,33.11,11.94,*****,*****,*****,*****,,,1.36,14.69,*****,10.05,3.53
2002/12/30,122.22,193.63,124.29,78.45,84.71,13.68,16.75,17.07,68.81,62.25,13.64,324.9,*****,*****,15.67,2.55,*****,2.3,69.66,10.13,2.82,408.79,32.61,33.28,12,*****,*****,*****,*****,,,1.39,14.77,*****,10.13,3.53
2003/1/31,118.71,192.14,126.33,77.15,86.39,13.78,17.01,17.2,69.46,64.43,13.66,315.28,*****,*****,15.22,2.49,*****,2.22,68.44,10.1,2.78,399.35,31.67,32.33,11.18,*****,*****,*****,*****,,,1.35,14.34,*****,10.1,3.45
2003/2/28,119.43,192.3,128.64,78.93,87.67,14.07,17.32,17.07,70.99,66.14,14.45,317.55,*****,*****,15.31,2.51,*****,2.22,68.43,10.03,2.79,401.66,31.87,32.53,10.95,*****,*****,*****,*****,,,1.36,14.43,*****,10.03,3.45
2003/3/31,118.66,188,128.21,80.4,87.31,13.91,17.27,16.35,71.45,65.77,14.79,315.51,*****,*****,15.22,2.5,*****,2.18,67.7,9.62,2.78,397.74,31.66,32.32,10.9,*****,*****,*****,*****,,,1.35,14.34,*****,9.62,3.43
2003/4/30,119.84,188.7,130.1,82.12,87.02,14.22,17.53,16.62,73.06,66.14,15.64,318.6,*****,*****,15.37,2.54,*****,2.28,67.48,9.73,2.8,400.48,31.97,32.64,11.32,*****,*****,*****,*****,,,1.37,14.48,*****,9.73,3.46
2003/5/30,117.31,190.35,135.71,84.85,89.57,14.84,18.29,17.24,76.02,67.68,15.45,311.82,*****,*****,15.04,2.5,*****,2.24,67.67,9.79,2.78,393.86,31.3,31.95,11.45,*****,*****,*****,*****,,,1.41,14.17,*****,9.79,3.39
2003/6/30,118.33,196.41,138.13,87.41,89.77,15.17,18.61,16.95,78.6,68.77,15.04,314.76,*****,*****,15.17,2.54,*****,2.22,68.24,9.92,2.84,396.52,31.57,32.22,11.28,*****,*****,*****,*****,,,1.45,14.3,*****,9.92,3.43
2003/7/31,118.73,193.2,135.12,86.24,87.3,14.71,18.18,16.3,78.71,69.71,15.81,315.6,*****,*****,15.22,2.58,*****,2.22,67.64,10.06,2.84,396.74,31.68,32.33,11.37,*****,*****,*****,*****,,,1.44,14.34,*****,10.06,3.46
2003/8/29,118.83,189.56,132.6,85.11,86.1,14.37,17.85,16.06,77.43,69.24,16.15,315.88,*****,*****,15.24,2.6,*****,2.17,67.79,10.09,2.85,397.54,31.71,32.36,11.04,*****,*****,*****,*****,,,1.41,14.36,*****,10.09,3.47
2003/9/30,115.23,185.3,129.08,84.31,83.48,14.25,17.39,15.76,76.04,67.24,15.77,306.46,*****,*****,14.8,2.53,*****,2.1,65.94,9.89,2.84,388.03,30.75,31.38,10.55,*****,*****,*****,*****,,,1.38,13.92,*****,9.89,3.4
2003/10/31,109.62,183.85,128.24,82.77,82.86,14.24,17.27,15.59,75.98,65.91,15.79,291.38,*****,*****,14.16,2.43,*****,2,63.19,9.39,2.76,373.65,29.25,29.85,9.83,*****,*****,*****,*****,,,1.31,13.24,*****,9.39,3.25
2003/11/28,109.23,184.4,127.71,83.11,81.84,14.21,17.18,15.58,78.21,68.62,16.26,290.43,*****,*****,14.07,2.41,*****,1.98,63.2,9.22,2.74,371.62,29.15,29.75,9.83,*****,*****,*****,*****,,,1.3,13.2,*****,9.22,3.22
2003/12/30,107.92,188.71,132.36,82.18,85.19,14.68,17.79,16.07,79.65,69.81,16.66,286.87,*****,*****,13.9,2.38,*****,1.95,63.06,9.05,2.72,367.33,28.8,29.39,9.6,*****,*****,*****,*****,,,1.28,13.04,*****,9.05,3.18
2004/1/30,106.42,193.8,134.09,82.08,85.67,14.69,18.01,15.61,81.91,71.48,15.4,282.97,*****,*****,13.7,2.35,*****,1.92,62.67,9,2.72,361.95,28.4,28.98,9.76,*****,*****,*****,*****,,,1.29,12.86,*****,9,3.17
2004/2/27,106.61,198.96,134.66,80.2,85.61,14.68,18.08,15.33,82.82,73.66,15.84,283.39,*****,*****,13.71,2.37,*****,1.91,63.18,9.13,2.73,362.47,28.45,29.03,9.67,33.9,*****,*****,*****,,,1.28,12.88,*****,9.13,3.22
2004/3/31,108.75,198.9,133.45,81.81,85.18,14.46,17.92,15.63,81.61,71.99,16.47,288.95,*****,*****,13.96,2.43,*****,1.94,63.98,*****,2.76,369.81,29.02,29.61,9.89,34.96,*****,*****,*****,,,1.28,13.14,28.62,9.33,3.28
2004/4/30,107.37,194.23,128.93,80.26,82.97,14.05,17.33,15.52,80.23,69.17,16.57,285.17,*****,*****,13.77,2.46,*****,1.93,63.81,*****,2.73,365.02,28.65,29.24,9.55,34.49,*****,*****,*****,,,1.26,12.97,28.26,9.33,3.27
2004/5/31,112.45,200.97,134.97,81.52,87.7,14.79,18.15,16.45,78.94,69,16.65,298.66,*****,*****,14.42,2.5,*****,2.02,65.64,*****,2.77,382.18,30.01,30.62,9.77,36.14,*****,*****,*****,,,1.26,13.59,29.59,9.55,3.37
2004/6/30,109.48,200.32,132.92,80.51,87.55,14.55,17.89,16.06,76.07,68.87,17.08,290.79,*****,*****,14.04,2.42,*****,1.96,63.96,*****,2.69,372.34,29.21,29.81,9.62,35.25,*****,*****,*****,,,1.18,13.23,28.81,9.46,3.27
2004/7/30,109.4,201.5,134.15,82.69,87.88,14.6,18.05,15.84,78.25,70.71,17.92,290.62,*****,*****,14.03,2.39,*****,1.96,63.9,*****,2.67,373.07,29.19,29.79,9.55,35.44,*****,*****,*****,,,1.22,13.22,28.79,9.45,3.25
